model_id,exterior_color,interior_color,price,model_name,condition,location_id,location_type
A_220_4MATIC_SEDAN,POLAR_WHITE,BLACK_MB_TEX,35950,A_CLASS_SEDAN,NEW,CENTURION_SOUTHAFRICA,STORE
A_220_4MATIC_SEDAN,NIGHT_BLACK,BLACK_MB_TEX,35950,A_CLASS_SEDAN,NEW,EASTLONDON_SOUTHAFRICA,PLANT
A_220_4MATIC_SEDAN,DENIM_BLUE,BLACK_MB_TEX,35950,A_CLASS_SEDAN,NEW,CARIO_EGYPT,STORE
A_220_4MATIC_SEDAN,RED_METALLIC,BLACK_MB_TEX,35950,A_CLASS_SEDAN,NEW,TELAVIV_ISRAEL,STORE
A_220_4MATIC_SEDAN,POLAR_WHITE,BEIGE_MB_TEX,35950,A_CLASS_SEDAN,NEW,TOKYO_JAPAN,STORE
A_220_4MATIC_SEDAN,NIGHT_BLACK,BEIGE_MB_TEX,35950,A_CLASS_SEDAN,NEW,HITACHI_JAPAN,PLANT
A_220_4MATIC_SEDAN,DENIM_BLUE,BEIGE_MB_TEX,35950,A_CLASS_SEDAN,NEW,PUNE_INDIA,PLANT
A_220_4MATIC_SEDAN,RED_METALLIC,BEIGE_MB_TEX,35950,A_CLASS_SEDAN,NEW,PUNE_INDIA,STORE
A_220_4MATIC_SEDAN,POLAR_WHITE,RED_LEATHER,35950,A_CLASS_SEDAN,NEW,HOCHIMINHCITY_VIETNAM,STORE
A_220_4MATIC_SEDAN,NIGHT_BLACK,RED_LEATHER,35950,A_CLASS_SEDAN,NEW,SEOUL_KOREA,STORE
A_220_4MATIC_SEDAN,DENIM_BLUE,RED_LEATHER,35950,A_CLASS_SEDAN,NEW,INSTANBUL_TURKEY,STORE
A_220_4MATIC_SEDAN,RED_METALLIC,RED_LEATHER,33950,A_CLASS_SEDAN,NEW,JAKARTA_INDONESIA,STORE
A_220_SEDAN,POLAR_WHITE,BLACK_MB_TEX,33950,A_CLASS_SEDAN,NEW,KUALA_MALAYSIA,STORE
A_220_SEDAN,NIGHT_BLACK,BLACK_MB_TEX,33950,A_CLASS_SEDAN,NEW,BANGKOK_THAILAND,PLANT
A_220_SEDAN,DENIM_BLUE,BLACK_MB_TEX,33950,A_CLASS_SEDAN,NEW,DUBAI_UAE,STORE
A_220_SEDAN,RED_METALLIC,BLACK_MB_TEX,33950,A_CLASS_SEDAN,NEW,CEBU_PHILLIPINES,STORE
A_220_SEDAN,POLAR_WHITE,BEIGE_MB_TEX,33950,A_CLASS_SEDAN,NEW,HONGKONG_CHINA,STORE
